ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
24;"Ağaca çıksa pabucu yerde
kalmaz";Davranışlarına engel olacak hiçbir takıntısı yok.;1;genel;;Dünyalara değişmemek;"Sabır acıdır, meyvesi
tatlıdır";İçi açılmak
25;Ağacı kurt, insanı dert yer;Kurt ağacı nasıl içten içe kemirirse dert de insanı içten içe yer bitirir.     6;1;genel;;Çivi çiviyi söker;Boyunun ölçüsünü almak;"Benim oğlum bina okur,
döner döner yine okur"
26;Ağacın kurdu içinde olur;Bir topluluğu çökertecek olan şey yine kendi içinden çıkar.;1;genel;;Zil takıp oynamak;Burnunda tütmek;"Değirmenin suyu nereden
geliyor?
Bu işin masrafını karşılayacak para
nasıl kazanılıyor.
197-Delik büyük, yama küçük"
27;Ağaç kökünden yıkılır;Bir düzen, ayrıntıların değişmesiyle değil temelinin bozulmasıyla yıkılır.;1;genel;;Nabzını yoklamak;Tilki uykusuna yatmak;"Şeytanın dostluğu
darağacına kadardır"
28;"Ağaç meyvesi olunca başını
aşağı salar";Yararlı eserler veren, bilgi ve erdemle donanmış kimse alçak gönüllü olur.;1;genel;;"İncir çekirdeğini
doldurmamak";"Dağ dağa kavuşmaz, insan
insana kavuşur";Sözü ağzına tıkamak
29;"Ağaç ne kadar uzarsa göğe
ermez";İnsan ne kadar yükselirse yükselsin bir yerde durur.;1;genel;;Yaş tahtaya basmamak;Meteliğe kurşun atmak;Çivi çiviyi söker
30;Ağaç yaşken eğilir;İnsanlar küçük yaşta kolay eğitilir.;1;genel;;Saman altından su yürütmek;Şifayı bulmak;Huyunu suyunu değiştirmek
31;Ağaçtan maşa olmaz;Yeteneksiz, beceriksiz kimse önemli işlerde kullanılamaz.;1;genel;;"Pilavdan dönenin kaşığı
kırılsın";Her kafadan bir ses çıkmak;"Yüzüp yüzüp kuyruğuna
gelmek"
32;Ağır git ki yol alasın;Bir işte başarılı olmak isteyen kimse, ağır ağır ama güvenilir adımlarla yürümelidir.;1;genel;;"Lokma karın doyurmaz,
şefaat artırır";Eğreti ata binen tez iner;Kapağı atmak
33;Ağır otur ki bey desinler;Ağırbaşlı ol ki büyüğümüz diye sana saygı göstersinler.;1;genel;;"Ayağının bastığı yerde ot
bitmez";"Çay geçerken at
değiştirilmez";"Ahbap kusuruna bakan
ahbapsız kalır"
34;"Ağlama ölü için, ağla deli
için";Yakınlarından biri ölenin acısı zamanla küllenir ancak bir yakını deli olanın acısı hiçbir zaman dinmez.;1;genel;;"İşleyen demir ışıldar pas
tutmaz";"Dünyanın kaç bucak
olduğunu anlamak";Her ağaçtan kaşık olmaz
35;Ağır kazan geç kaynar;Tembel olan işi geç yapar, ağırbaşlı insan çabuk öfkelenmez..     7;1;genel;;"Kargadan başka kuş
tanımamak";"İki yakası bir araya gelmemek
Geçim sıkıntısından bir türlü
kurtulamamak, borçtan
kurtulamamak.
165-İnce eleyip sık dokumak";Yerinde yeller esmek
36;Ağlamakla yâr ele geçmez;Kişi çok sevdiği şeye yalnızca özlemini çekmekle kavuşamaz, onu elde etmenin yollarını bulmalıdır.;1;genel;;İzinden yürümek;Türkü yakmak;"Hangi dağda kurt öldü?
Nasıl oldu da böyle umulmadık
güzel bir davranışta bulundun?
105-Hâli kalmamak"
37;"Ağlamayan çocuğa meme
vermezler";Hakkını aramasını bilmeyen kimsenin işi görülmez.;1;genel;;Ummadığın taş baş yarar;"Bin nasihatten bir musibet
yeğdir";Zor oyunu bozar
38;"Ağlar gözden, sahte sözden
kendini sakın";Kendini acındıranlardan kork.;1;genel;;"Elmanın dibi göl, armudun
dibi yol";"Ak koyun ara koyun geçit
başında belli olur";Külahları değişmek
39;"Ağlarsa anam ağlar, gayrısı
yalan ağlar";İnsanın sıkıntısını yürekten paylaşan yalnızca annesidir, diğerlerinin üzülmesi yüzeyseldir.;1;genel;;Dilini tutamamak;"Kes parmağını çık pazara,
merhem buyuran çok olur";"Derdi veren devasını da
verir"
40;"Ağlayanın malı gülene hayır
etmez";Birinden haksız olarak alınan mal, alana yarar sağlamaz.;1;genel;;Sarpa sarmak;"Kırk yıl kıran olmuş, eceli
gelen ölür";"Kısmet ise gelir Hint’ten,
kısmet değilse ne gelir elden?
Tanrı bir şeyi size kısmet etmişse
o mutlaka size gelir, kısmet
etmemişse yapacak bir şey
yoktur.
360-Kırk gün taban eti, bir gün
av eti"
41;Ağrısız baş mezarda olur;Herkesin bir sıkıntısı vardır, bu sıkıntılar ancak ölümle biter.;1;genel;;Meydan okumak;"İnsan doğduğu yerde değil,
doyduğu yerde";İn cin top oynamak
42;"Ağustosta beyni
kaynayanın zemheride kazanı
kaynar";Yazın çalışan kışın rahat eder.;1;genel;;Dün öleni dün gömerler;Saçına ak düşmek;İçi dışına çıkmak
43;"Ağustosta gölge kovan
zemheride karnın ovar";Elinde fırsat varken geleceğini sağlamaya gayret göstermeyip eğlenceye, keyfe dalan kimse sonunda aç kalır ve perişan olur.     8;1;genel;;"Borç ödemekle, yol
yürümekle tükenir";Ezbere iş görmek;"Kürk ile börk ile adam
olunmaz"
44;"Ağustosun yarısı yaz, yarısı
kıştır";Ağustos ayının ortalarında yaz sıcakları azalır, serinlik başlar.;1;genel;;Laf lafı açar;"Acıyan uyumuş, acıkan
uyumamış";"Bir adama kırk gün ne dersen
o olur"
45;"Ahbap kusuruna bakan
ahbapsız kalır";Dostların ufak tefek kusurlarına bakmamak gerekir.;1;genel;;Paraya kıymak;Kanat germek;Renkten renge girmek
46;Akacak kan damarda durmaz;Kişi, alın yazısında olanla kesinlikle karşılaşır.;1;genel;;"Kardeş kardeşi atmış, yar
başına tutmuş";"Ağlama ölü için, ağla deli
için";"Biri bilmeyen bini hiç
bilmez"
47;Ak akçe kara gün içindir;Çalışarak kazandığımız para, dar zamanımızda bizi sıkıntıdan kurtarır.;1;genel;;Parmak ısırmak;"Çocuğu iş buyuran,
ardınca kendi gider";"Bir mıh(çivi) bir nal
kurtarır,bir nal bir at kurtarır"
48;"Ak gün ağartır, kara gün
karartır";Mutlu bir yaşayış kişiyi dinç kılar, mutsuz bir yaşam ise yıpratır.;1;genel;;Yabancılık çekmek;"Baht olmayınca başta, ne
kuruda biter ne yaşta";"İki ayağını bir pabuca
sokmak"
49;"Ak koyun ara koyun geçit
başında belli olur";Kimin ne olduğu deney veya sınav sonunda anlaşılır.;1;genel;;Kemer sıkmak;Masrafa girmek;Pireyi deve yapmak
50;"Ak koyunu gören içi dolu
yağ sanır";Bir şeyin dış görünüşüne bakarak içinin de öyle olduğunu sananlar yanılırlar.;1;genel;;Balık baştan kokar;Paha biçmek;İçi içine sığmamak
51;"Ak koyunun kara kuzusu da
olur";İyi bir ailenin çocuğu kötü de olabilir.;1;genel;;Üstüne toz kondurmamak;Yanına kâr kalmak;"Bir söz yola getirir,bir söz
yoldan çıkarır"
52;Akıl yaşta değil baştadır;Akıllı olmanın yaşla ilgisi yoktur, bazı küçükler büyüklerden daha akıllı olabilir.     9;1;genel;;İş çığırından çıkmak;Rüzgârdan nem kapmak;"Karaya sabun, deliye öğüt
neylesin"
53;"Akıllı köprü arayıncaya dek
deli suyu geçer";Atak kişi tehlikeyi göze alarak işe girişir ve çabuk sonuç alır.;1;genel;;"Akşamın hayrından sabahın
şerri iyidir";İçi dışına çıkmak;"Bu ne perhiz bu ne lahana
turşusu!"
54;"Akılsız başın cezasını ayaklar
çeker";Bir işte düşüncesizce davranan kişi her türlü olumsuz sonuca katlanır.;1;genel;;Aklını peynir ekmekle yemek;Yanına bırakmamak;Altının kıymetini sarraf bilir
55;"Aksak eşekle yüksek dağa
çıkılmaz";Eksik aletle sağlıklı iş yapılmaz.;1;genel;;Sermayeyi kediye yüklemek;Posta koymak;Acele yürüyen yolda kalır
56;"Akşamın hayrından sabahın
şerri iyidir";İşinizi akşamüzeri veya gece yapmayın, sabaha bırakın çünkü gece iş yapmanın kötü yönleri daha çoktur.;1;genel;;Jetonu geç düşmek;"Tatlı dil yılanı deliğinden
çıkarır";"Eşeğini sağlam kazığa
bağlamak"
57;Al elmaya taş atan çok olur;Değerli kimselere sataşan çok olur.;1;genel;;"Çalma elin kapısını, çalarlar
kapını";Ağız değiştirmek;Huyunu suyunu değiştirmek
58;"Al malın iyisini, çekme
kaygısını";Malın iyisini alan, onu tasasız kullanır.;1;genel;;Aralarından kara kedi geçmek;"Keçi nereye çıkarsa oğlağı
da oraya çıkar";Pire için yorgan yakmak
59;"Alçak yerde yatma sel alır,
yüksek yerde yatma yel alır";İnsan kendi durumuna göre bir yaşam tarzı benimsemeli, arkadaşlarını da ona göre seçmelidir.;1;genel;;Zorla güzellik olmaz;Kapıları kapamak;İçi sızlamak
60;Alıcı kuşun ömrü az olur;Başkalarına saldırmayı alışkanlık edinen kimsenin düşmanı çok olur, bu düşmanlar onun canına kıyarlar.;1;genel;;Işık almak;"Her ağacın meyvesi
olmaz";"Gönül bir sırça saraydır,
kırılırsa yapılmaz"
61;"Alışmış kudurmuştan
beterdir";Alışılan bir şeyden kolayca vazgeçilmez.     10;1;genel;;"Tavşan dağa küsmüş,
dağın haberi olmamış";"Çobanın gönlü olursa
tekeden süt çıkarır";"Kedinin usluluğu sıçan
görünceye kadar"
62;"Allah Halil İbrahim bereketi
versin";Allah çok versin, bereket versin.;1;genel;;Iskartaya çıkarmak;Daldan dala konmak;"İki testi tokuşunca biri
elbet kırılır"
63;"Allah kardeşi kardeş yaratmış,
kesesini ayrı yaratmış";Geçim konusunda kimse kimseye yük olmamalıdır.;1;genel;;Çoğu zarar, azı karar;Taşı sıksa suyunu çıkarır;Mumla aramak
64;Allah kulunu kısmeti ile yaratır;Bu dünyada herkesin dar veya geniş, bir geçim yolu vardır.;1;genel;;Hak yerini bulur;"Bir söz yola getirir,bir söz
yoldan çıkarır";"Mal da yalan mülk de
yalan, var biraz da sen oyalan"
65;"Allah verirse el getirir, sel
getirir, yel getirir";Tanrı bir kimseyi zengin etmek isterse ona hiç umulmadık yerden mal ve para gelir.;1;genel;;"Altın eşik gümüş eşiğe muhtaç
olur";Post elden gitmek;"Adamın yere bakanından,
suyun yavaş akanından kork"
67;"Alma mazlumun ahını, çıkar
aheste aheste";Kimseye eziyet edip ahını alma, sonra yaptığın kötülüklerin cezasını ömür boyu çekersin.;1;genel;;"Çağrılmayan yere
çörekçiyle börekçi gider";"Acıkan ne olsa yer, acıyan ne
olsa söyler";Can evinden vurmak
68;"Almadan vermek Allah'a
mahsustur";İnsan yaptığı herhangi bir şey için mutlaka karşılık bekler.;1;genel;;Yarım elma, gönül alma;Gına gelmek;Gırgıra almak
69;"Altı olur, yedi olur, hep Allah'ın
dediği olur";Önceden ne kadar hesap yapılırsa yapılsın, sonunda Tanrı'nın dilediği olur.;1;genel;;"Suyu havana koy, döv döv
yine su";Volta atmak;"İşleyen demir ışıldar pas
tutmaz"
70;"Altın eşik gümüş eşiğe muhtaç
olur";Hiç kimse zenginliğine güvenmemelidir, gün gelir yoksullaşır ve fakir kimseye muhtaç olur. -ATASÖZLERİ66-Allah'ın bildiği kuldan saklanmaz : Kişi işlediği suçtan dolayı önce Tanrı'ya karşı sorumludur ve bu suçu da Tanrı bilir, bu nedenle onu kuldan saklamak gerekmez.   11;1;genel;;Havanda su dövmek;"Almadan vermek Allah'a
mahsustur";Adam olana bir söz yeter
71;"Altın yerde paslanmaz, taş
yağmurdan ıslanmaz";Değerli kişi veya nesneler, ne türlü uygunsuz koşullar içinde bulunurlarsa bulunsunlar değerlerini ve niteliklerini yitirmezler.;1;genel;;Yağmasa da gürlemek;Yüzüne kan gelmek;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz"
72;Altın yere düşmekle pul olmaz;Üstün nitelikli kişinin değeri, bulunduğu yerden uzaklaştırılmasıyla azalmaz.;1;genel;;"Aza kanaat etmeyen çoğu
hiç bulamaz";Kaçanın anası ağlamamış;"Altın yerde paslanmaz, taş
yağmurdan ıslanmaz"
73;Altının kıymetini sarraf bilir;Bir kimsenin, bir şeyin değerini ancak o konuda uzmanlığı olanlar bilir.;1;genel;;Teşbihte hata olmaz;"Ağaç ne kadar uzarsa göğe
ermez";Ağlamakla yâr ele geçmez
74;Aman diyene kılıç kalkmaz;Mertliğinize güvenip size teslim olan düşmanın canına kıyılmamalıdır.;1;genel;;"Katrandan olmaz şeker, olsa
da cinsine çeker";Hevesi kalmamak;Mahkeme kadıya mülk değil
75;"Ana gibi yâr olmaz, Bağdat gibi
diyar olmaz";İnsanlar içinde bize ana kadar candan bağlı dost yoktur.;1;genel;;Yakasına yapışmak;"Küheylan at, çul içinde de
bellidir";"Kısmetsiz köpek, sabaha
karşı uyuyakalır"
76;"Ananın bastığı yavru
incinmez";Annenin acı sözü çocuğuna ağır gelmez.;1;genel;;Para peşin, kırmızı meşin;"Tarlada izi olmayanın
harmanda sözü olmaz";Karnı zil çalmak
77;"Anlayana sivrisinek saz,
anlamayana davul zurna az";Anlayışlı kimseleri en küçük bir söz bile etkiler oysa anlayışsız kimselere ne söylense yararsızdır.;1;genel;;"Dost başa, düşman ayağa
bakar";"Alışmış kudurmuştan
beterdir";Ne ekersen onu biçersin
78;"Araba devrilince yol
gösteren çok olur";İş işten geçtikten sonra verilen öğüdün değeri yoktur.;1;genel;;"Herkes aklını pazara
çıkarmış, yine kendi aklını
almış";Akacak kan damarda durmaz;"Çocuğu iş buyuran,
ardınca kendi gider"
79;"Arayan Mevla’sını da bulur,
belasını da";İyiyi amaçlayanlar iyiye, kötüyü amaçlayanlar ise kötüye ulaşırlar.     12;1;genel;;"Dilden gelen elden gelse
her fukara padişah olur";İpliği pazara çıkmak;Dikiş tutturamamak
80;Arı bal alacak çiçeği bilir;İşini bilen kimse nereye başvuracağını bilir.;1;genel;;Kalıbını basmak;"Ağlayanın malı gülene hayır
etmez";"Keçi kurttan kurtulsa
gergedan olur"
81;"Arı söğüdü, akıllı öğüdü
sever";Herkes işine yarayan şeyi benimser.;1;genel;;Balık baştan avlanır;"Karıncanın zevali gelince
kanatlanır";Her telden çalmak
82;"Arlı arından, huylu huyundan
vazgeçmez";Herkes kendi karakterine göre davranışta bulunur.;1;genel;;"Az veren candan, çok veren
maldan";"Arpacı kumrusu gibi
düşünmek";Küpünü doldurmak
83;"Armudu soy ye, elmayı say
ye";Armut kabuğu soyularak elma da aşırı gidilmeden sayıyla yenilmelidir.;1;genel;;Diline düşmek;"Kargadan başka kuş
tanımamak";Dert ağlatır, aşk söyletir
84;Armut dalının dibine düşer;Bir kimse önce yakınlarına yararlı olur.;1;genel;;"Akılsız başın cezasını ayaklar
çeker";Elçiye zeval olmaz;Kökünden halletmek
85;Arpa eken buğday biçmez;Kötü davranışın karşılığı iyi olmaz.;1;genel;;Aklından çıkarmamak;Sağ gösterip sol vurmak;Akla hayale gelmemek
86;Asıl azmaz, bal kokmaz;Bir kimse veya nesne, ne denli biçim değiştirirse değiştirsin aslını yitirmez, soyluluğunu korur.;1;genel;;Meydana çıkarmak;"Dilsizin dilinden anası
anlar";Ağır otur ki bey desinler
87;Aslan yatağından belli olur;Bir kimsenin oturduğu yerin durumu, onun kişiliğini belli eder.;1;genel;;İçine daralma gelmek;"Irmak kenarında çeşme
yapılmaz";"Cins kedi ölüsünü
göstermez"
88;"Astar bol olmayınca yüze
gülmez";Bir iş yapmak için gerekli olan şeyler, ölçü biraz geniş tutularak hazırlanmalıdır.;1;genel;;Son kozunu oynamak;Balık baştan avlanır;Sürüden ayrılmak
89;"Aş taşınca kepçeye paha
olmaz";Sıkışık zamanlarda önemsiz şeylerin değeri çoktur.     13;1;genel;;"Astar bol olmayınca yüze
gülmez";Aklından çıkarmamak;"Kır atın yanında duran ya
huyundan ya suyundan"
90;"At, adımına göre değil
adamına göre yürür";Atın yürüyüşü binicisinin yönetimine bağlı olduğu gibi bir işin gidişi de iş başındakinin bilgisine ve çabasına bağlıdır.;1;genel;;"Çocuğu iş buyuran,
ardınca kendi gider";Kafa patlatmak;"İki yakası bir araya gelmemek
Geçim sıkıntısından bir türlü
kurtulamamak, borçtan
kurtulamamak.
165-İnce eleyip sık dokumak"
91;At binenin, kılıç kuşananın;Her şey, onu gereği gibi kullanmasını bilene yakışır.;1;genel;;Kulak kesilmek;Yan çizmek;Fincancı katırlarını ürkütmek
92;"At bulunur meydan
bulunmaz, meydan bulunur at
bulunmaz";Bir işi başarabilmek için gerekli olan koşullar her zaman eksiksiz olarak ele geçmez.;1;genel;;Laf işitmek;Diline düşmek;Gönül almak
93;"Atasını tanımayan Allah'ını
tanımaz";Babaya itaat etmeyen kimse, ana ve babaya itaat etmeyi buyuran Tanrı'yı da tanımıyor demektir.;1;genel;;Adam olana bir söz yeter;Sürüncemede kalmak;Kalaylı bakır küflenmez
94;Ateş düştüğü yeri yakar;Bir acıyı onu çekenden başkası tam anlayamaz veya aynı ölçüde üzülemez.;1;genel;;Allah kulunu kısmeti ile yaratır;"Fakirlik ayıp değil,
tembellik ayıp";Yan gelip yatmak
95;Ava giden avlanır;Çıkarını başkalarına zarar vermekte arayan kimse, o zarara kendisi uğrar.;1;genel;;Yağıp gürlemek;Yabancılık çekmek;Yer yarılıp içine girmek
96;"Avcı ne kadar hile al bilse ayı
o kadar yol bilir";Bir kişi başkasını alt etmek için çeşit çeşit ustalık kullanır ama karşısındaki de yenilmemek için türlü önlemler alır.;1;genel;;Eğilen baş kesilmez;"Bu ne perhiz bu ne lahana
turşusu!";İçi cız etmek
97;Ayağını yorganına göre uzat;Giderini mutlaka gelirine uydurmalısın.     14;1;genel;;Dil dökmek;İş insanın aynasıdır;Halep oradaysa arşın burada
98;"Ayağının bastığı yerde ot
bitmez";Uğradığı yere bereketsizlik, uğursuzluk getirir.;1;genel;;Taşı gediğine koymak;"Kırk yıl kıran olmuş, eceli
gelen ölür";"Ağlar gözden, sahte sözden
kendini sakın"
99;Az tamah çok ziyan getirir;Hırslı ve pinti insan her zaman zararlı çıkar.;1;genel;;Geceyi gündüze katmak;"İki ayağını bir pabuca
sokmak";Yaş akıtmak
100;"Az veren candan, çok veren
maldan";Varlıklı olmayan kimsenin yardım veya armağan olarak az şey vermesi büyük fedakârlıktır, varlıklı kimsenin vereceği armağan ve yardımlar fedakârlık sayılmaz.;1;genel;;"Ecel geldi cihana, baş ağrısı
bahane";"Evdeki hesap çarşıya
uymaz";Altının kıymetini sarraf bilir
101;"Aza kanaat etmeyen çoğu
hiç bulamaz";Büyük şeyleri elde edebilmek için önce küçük şeylerle yetinmek gerekir.;1;genel;;Kelleyi vermek;"Kız kundakta, çeyiz
sandıkta";Külahları değişmek
102;"Baba malı tez tükenir, evlat
gerek kazana";Kendini bilen, yaşama sorumluluğu duyan akıllı evladın gerçek malı, kendisinin kazandığı maldır.;1;genel;;"Kısmetsiz köpek, sabaha
karşı uyuyakalır";"Kaymağı seven mandayı
yanında taşır";"Çocuğun bulunduğu yerde
dedikodu olmaz"
103;"Baca eğri de olsa dumanı
doğru çıkar";Yaradılıştan iyi ve doğru olan kimse, ne denli elverişsiz ortam içinde bulunursa bulunsun niteliğini yitirmez.;1;genel;;Kemer sıkmak;İçi yanmak;"Garibe bir selam bin altın
değer"
104;"Bacak kadar boyu var,
türlü türlü huyu var";Yaşı küçük ancak herkesten farklı alışkanlıklar, huylar edinmiş.     15;1;genel;;Kulağına kar suyu kaçmak;İple çekmek;"İnsan yedisinde ne ise
yetmişinde de odur"
105;"Bağa bak, üzüm olsun,
yemeye yüzün olsun";Kişi, karşılık beklediği işten istediğini alabilmek için gereken harcamaları yapmalıdır.;1;genel;;Acı patlıcanı kırağı çalmaz;Üstünde durmak;Kelleyi koltuğuna almak
106;Bağı ağlayanın yüzü güler;Bir işe gereken özen gösterildiğinde olumlu sonuçlar alınır.;1;genel;;"Lokma çiğnemeden
yutulmaz";Hevesi kursağında kalmak;Kapısını aşındırmak
107;"Baht olmayınca başta, ne
kuruda biter ne yaşta";Kişi talihsiz olursa giriştiği hiçbir işten olumlu sonuç alamaz.;1;genel;;"Bilmemek ayıp değil,
öğrenmemek ayıp";"Kader olmayınca kadir
bilinmez";İki aslan bir posta sığmaz
108;"Bakarsan bağ olur,
bakmazsan dağ olur";Bakılıp onarılan şeylerden yararlanılır, bakımsız bırakılanlardan bir yarar elde edilemez.;1;genel;;Parmak kaldırmak;"Ayağının bastığı yerde ot
bitmez";Pabucu dama atılmak
109;"Bal bal demekle ağız
tatlanmaz";Sözde kalan dilek ve tasarıların iş bitirmede hiçbir etkisi olmaz.;1;genel;;İki kere iki dört eder;Saati saatine uymamak;Laf torbaya girmez
110;Bal tutan parmağını yalar;İmkânları geniş bir işin başında bulunan kimse bunlardan az da olsa yararlanır.;1;genel;;"Sarımsak yemedim ki ağzım
koksun";Abayı sermek;Ava giden avlanır
111;"Balı parmağı uzun yemez,
kısmetlisi yer";Güzel bir şey, onu isteyen ve elde edecek gibi görünenin değil kısmeti olanın eline geçer.;1;genel;;Kafa sallamak;İpe un sermek;Bıçak kınını kesmez
112;Balık baştan avlanır;Bir şeyi ele geçirebilmek için onu yönetenleri elde etmek gerekir.     16;1;genel;;Allah kulunu kısmeti ile yaratır;Tükürdüğünü yalamak;İki gözü iki çeşme ağlamak
113;Balık baştan kokar;Bir işte aksaklığın başta olanlardan kaynaklandığını anlatan bir söz.;1;genel;;Açık yaraya tuz ekilmez;"Ağaca balta vurmuşlar
“sapı bedenimden” demiş";"Denize düşen yılana
sarılır"
114;Bal tutan parmağını yalar;Başkalarına güzel şeyler dağıtmakla görevli olan kimse, dağıttığından az çok kendisi de yararlanır.;1;genel;;"İstediğini söyleyen,
istemediğini işitir";Turşuya dönmek;"Kardeş kardeşi atmış, yar
başına tutmuş"
115;Bal olan yerde sinek de olur;Güzel şeylerin çevresinde, ondan yararlanmak isteyen asalaklar dolaşır.;1;genel;;"Mal da yalan mülk de
yalan, var biraz da sen oyalan";"Sarımsak yemedim ki ağzım
koksun";Yere çalmak
